word,home_row_score,bigram_bonus,frequency_score,movement_cost
husband,15,0,108,16
ground,5,0,88,20
brother,0,0,146,22
cold,10,0,56,16
replied,10,0,146,20
reason,10,0,142,22
hour,0,0,67,14
school,10,0,103,13
ran,5,0,63,4
several,15,0,153,19
fell,15,0,69,7
whose,5,0,105,21
saying,10,0,97,17
certain,5,0,157,26
probably,10,0,98,28
evening,0,0,147,25
ago,5,0,53,9
answer,10,0,127,4
show,5,0,67,17
run,0,0,46,10
speak,15,0,90,24
within,0,0,115,30
themselves,15,0,220,30
met,0,0,73,5
minutes,5,0,141,29
ready,10,0,99,10
however,0,0,145,24
returned,5,0,181,16
poor,0,0,69,6
living,5,0,83,26
spoke,10,0,88,18
longer,5,0,117,16
office,10,0,103,22
during,5,0,86,20
blue,5,0,63,11
bit,0,0,53,11
outside,10,0,149,22
order,5,0,109,9
followed,20,0,134,21
late,10,0,102,13
shook,10,0,85,14
talking,15,0,113,23
forward,15,0,110,21
waiting,5,0,127,24
sent,5,0,105,10
line,5,0,91,13
chair,5,0,90,12
power,0,0,91,10
answered,15,0,178,6
stop,5,0,74,9
stay,10,0,77,15
nodded,15,0,119,18
quickly,10,10,58,23
road,10,0,78,16
blood,10,0,74,16
hundred,10,0,128,20
hours,5,0,86,17
wrong,0,0,74,16
lips,10,0,58,13
continued,5,0,179,46
sort,5,0,87,14
Lord,5,0,53,16
try,0,0,51,3
daughter,10,0,153,24
city,0,0,62,12
fine,5,0,86,16
watched,10,0,136,16
dear,10,0,93,8
standing,15,0,151,25
caught,5,0,93,19
beautiful,15,20,151,28
top,0,0,56,5
slowly,15,0,79,23
sir,5,0,58,11
clear,10,0,101,18
possible,15,0,142,35
early,10,0,99,13
wall,15,0,56,8
ten,0,0,86,5
eye,0,0,82,6
bring,0,0,70,16
laughed,15,0,120,24
sitting,5,0,141,21
happy,5,0,60,14
hold,10,0,66,16
twenty,0,0,126,13
whether,0,0,165,16
cut,0,0,44,9
itself,15,0,124,17
pretty,0,0,122,10
nor,0,0,61,14
closed,15,0,113,20
anyone,5,0,132,21
sun,5,0,48,13
present,5,0,166,19
sleep,10,0,113,17
change,5,0,116,3
human,5,0,79,14
cried,5,0,98,14
return,0,0,130,12
war,5,0,50,6
truth,0,0,99,11
lady,15,0,55,12
street,5,0,168,8
breath,5,0,130,18
Maybe,5,0,73,15
six,5,0,40,15
finally,20,0,102,21
fear,10,0,87,9
move,0,0,71,21
appeared,15,0,168,26
needed,10,0,160,6
letter,5,0,161,10
number,0,0,96,18
wish,5,0,65,14
free,5,0,101,2
week,5,0,86,5
yourself,15,0,131,21
towards,15,0,131,20
glass,20,0,81,13
horse,5,0,116,19
play,10,0,48,16
decided,15,0,144,20
meet,0,0,111,5
sister,10,0,142,21
beside,10,0,133,19
seem,5,0,102,5
died,10,0,85,12
land,15,0,70,8
strong,5,0,113,19
walk,15,0,46,9
stand,15,0,104,11
means,10,0,109,7
fingers,10,0,129,20
silence,10,0,157,20
York,5,0,43,17
added,20,0,101,4
English,10,0,97,16
rose,5,0,98,15
London,5,0,98,36
police,5,0,108,17
afraid,20,0,107,22
low,5,0,42,10
meant,5,0,117,11
sea,10,0,82,5
job,5,0,27,14
attention,5,0,228,28
married,10,0,139,14
sight,5,0,91,20
chance,5,0,118,3
shoulder,15,0,149,19
paper,5,0,92,28
lived,10,0,87,14
till,10,0,72,5
sorry,5,0,83,15
strange,10,0,153,12
American,5,0,137,16
seems,10,0,121,6
loved,10,0,88,16
wait,5,0,80,13
kitchen,5,0,135,17
indeed,10,0,143,12
d,5,0,13,0
green,0,0,120,8
sometimes,10,0,199,38
form,5,0,54,15
important,5,0,174,35
law,10,0,44,8
in.,0,0,41,8
watch,5,0,85,12
doubt,5,0,75,21
knows,10,0,71,22
King,0,0,47,16
state,10,0,136,16
phone,0,0,105,31
beyond,5,0,104,20
months,5,0,114,29
start,10,0,116,14
filled,20,0,103,13
working,5,0,97,26
running,0,0,114,26
wind,5,0,61,16
stared,15,0,140,15
trouble,5,0,131,26
Mary,5,0,48,6
die,5,0,72,11
self,15,0,76,10
except,0,0,118,18
earth,5,0,126,13
led,10,0,63,6
hot,0,0,68,13
age,5,0,69,3
girls,10,0,76,21
corner,0,0,125,22
dinner,5,0,130,18
heavy,5,0,90,12
trees,5,0,140,4
comes,5,0,95,23
raised,15,0,133,22
Jack,10,10,35,5
foot,5,0,79,10
couple,5,0,95,23
straight,10,0,161,30
afternoon,10,0,200,30
boys,5,0,52,17
food,10,0,64,13
baby,5,0,39,6
suppose,10,0,118,20
shot,5,0,87,14
pain,5,0,71,26
party,5,0,81,16
quiet,0,0,95,14
leaving,10,0,125,24
nature,5,0,136,11
legs,10,0,75,9
watching,5,0,133,28
neck,5,10,69,11
carried,10,0,141,14
everyone,0,0,184,24
sit,5,0,67,10
interest,5,0,209,23
figure,5,0,98,24
deal,15,0,87,10
company,5,0,95,44
killed,20,0,98,11
easy,10,0,88,9
thousand,15,0,153,25
minute,0,0,122,27
onto,0,0,92,18
nearly,10,0,119,16
worked,10,0,101,20
clothes,10,0,146,23
pay,5,0,36,16
mine,0,0,86,19
simply,10,0,71,31
makes,15,0,91,11
fall,20,0,55,9
holding,10,0,113,30
tears,10,0,127,12
George,0,0,123,21
certainly,10,0,175,34
books,10,0,71,17
arrived,10,0,135,20
picked,10,10,88,20
today,10,0,93,19
hell,10,0,81,8
tree,0,0,121,2
further,5,20,134,17
looks,15,0,78,11
position,5,0,159,32
waited,10,0,131,16
guess,10,0,90,13
thoughts,5,0,147,32
view,0,0,69,14
although,10,0,137,32
sky,10,0,27,5
following,15,0,130,33
Dr.,0,0,18,8
river,0,0,98,16
nice,0,0,88,19
seeing,5,0,142,15
soul,10,0,62,11
drink,10,0,74,19
shoulders,20,0,168,22
beginning,0,0,157,38
wondered,10,0,170,22
touch,0,0,85,13
wide,5,0,79,13
doctor,5,0,111,30
exactly,10,0,117,13
middle,15,0,104,23
seat,10,0,109,10
Tom,0,0,30,18
public,5,0,60,26
ship,5,0,64,11
warm,5,0,57,10
entered,5,0,192,13
instead,15,0,163,20
remembered,5,0,220,16
changed,10,0,128,4
realized,15,0,165,24
church,0,0,79,14
whatever,5,0,174,16
news,5,0,84,5
gold,10,0,53,16
please,15,0,138,15
immediately,15,0,215,40
finished,15,0,157,33
glad,15,0,55,14
building,10,0,106,28
hurt,0,0,72,11
soft,10,0,75,16
expression,10,0,202,39
dropped,10,0,116,16
actually,20,0,123,22
spent,5,0,110,24
stepped,10,0,147,21
telling,10,0,137,17
No.,0,0,23,18
skin,10,0,62,15
dog,5,0,41,16
moving,0,0,80,34
kill,15,0,47,5
general,10,0,157,20
noticed,5,0,150,28
parents,10,0,153,27
single,10,0,116,26
drew,5,0,76,4
manner,5,0,128,4
silent,10,0,138,22
coffee,10,0,120,17
giving,0,0,77,32
step,5,0,90,13
subject,10,0,106,28
piece,0,0,111,13
eat,5,0,90,8
conversation,10,0,244,44
liked,15,0,86,10
whispered,10,0,178,36
written,0,0,159,14
covered,5,0,141,24
wonder,5,0,119,20
French,0,0,103,8
beneath,5,0,171,22
empty,0,0,84,19
hit,0,0,66,11
fast,15,0,77,8
none,0,0,101,21
force,5,0,94,18
glanced,15,0,122,16
remained,10,0,180,24
lives,10,0,93,15
weeks,10,0,105,9
hardly,15,0,92,12
desk,15,0,72,7
distance,15,0,171,25
stone,5,0,127,20
James,10,0,89,5
chest,5,0,111,9
broken,5,0,106,20
steps,10,0,109,22
dress,15,0,107,5
showed,10,0,118,19
especially,20,0,185,45
expected,5,0,169,31
pleasure,15,0,164,23
edge,5,0,95,6
group,0,0,61,14
future,5,20,106,12
bright,0,0,95,21
placed,15,0,102,14
below,5,0,84,18
turning,0,0,121,25
fellow,15,0,99,17
meeting,0,0,158,16
visit,5,0,91,25
broke,5,0,85,17
grew,0,0,69,6
learned,15,0,164,20
control,5,0,131,32
hall,15,0,67,6
picture,0,0,127,21
problem,5,0,108,34
talked,20,0,117,17
England,15,0,96,14
history,5,0,132,30
ahead,15,0,118,8
happen,5,0,113,20
supposed,15,0,131,21
questions,10,0,176,30
tone,0,0,108,16
leaned,15,0,146,12
David,10,0,61,14
walking,15,0,93,20
surprised,15,0,160,35
write,0,0,111,11
cause,10,0,98,15
pushed,10,0,102,14
music,5,0,64,28
received,5,0,177,24
information,10,0,211,44
secret,5,0,149,12
marriage,10,0,157,19
Henry,0,0,82,12
Mr,0,0,18,4
fight,5,0,79,18
Captain,10,0,123,36
sign,5,0,66,15
laugh,10,0,69,20
box,0,0,27,18
third,5,0,97,19
act,5,0,60,5
neither,0,0,181,20
lifted,15,0,118,12
wrote,0,0,113,13
break,10,0,87,13
hung,0,0,53,14
thirty,0,0,117,19
born,0,0,65,18
laid,15,0,70,20
summer,5,0,98,17
boat,5,0,79,23
reading,10,0,141,20
surprise,10,0,147,34
thus,5,0,73,18
experience,0,0,226,36
writing,0,0,120,20
game,5,0,76,3
pass,15,0,68,11
note,0,0,108,15
goes,5,0,86,17
miles,10,0,97,17
throat,5,0,138,28
send,10,0,90,7
wild,10,0,53,12
usual,15,0,72,25
m,0,0,7,0
nose,5,0,100,19
shut,5,0,73,10
direction,5,0,189,32
pointed,5,0,148,18
horses,10,0,135,21
walls,20,0,75,13
tall,15,0,76,11
Paul,10,0,45,8
knowing,5,0,99,35
quick,5,10,40,20
sweet,5,0,129,4
guy,0,0,20,8
common,0,0,88,36
character,10,0,185,16
space,10,0,96,22
re,0,0,56,1
gun,0,0,35,14
ought,0,0,82,14
follow,15,0,83,19
seven,5,0,118,11
spirit,5,0,112,22
stories,10,0,165,24
forget,5,0,119,20
strength,5,0,174,19
safe,15,0,88,6
master,10,0,134,8
drive,5,0,93,17
situation,10,0,191,37
tired,5,0,117,9
ones,5,0,100,14
simple,10,0,103,34
village,15,0,117,19
lying,5,0,65,12
dream,10,0,101,6
brown,0,0,72,18
presence,5,0,186,17
desire,10,0,147,15
Peter,0,0,121,8
wants,10,0,98,11
sudden,15,0,111,15
agreed,10,0,137,6
offered,15,0,143,11
eight,0,0,111,18
threw,0,0,109,11
necessary,15,0,191,18
darkness,25,0,154,19
scene,5,0,124,10
knowledge,15,0,159,38
difficult,20,0,124,35
account,5,0,119,23
William,15,0,98,20
service,5,0,145,26
struck,10,10,83,20
lie,5,0,71,7
touched,5,0,135,17
allowed,20,0,129,18
crowd,5,0,69,18
fair,10,0,70,15
paid,10,0,64,24
pocket,5,10,104,21
art,5,0,70,5
thick,5,10,77,26
Sam,5,0,32,0
serious,10,0,146,16
bear,5,0,85,10
perfect,5,0,142,19
special,15,0,129,41
class,20,0,83,13
shirt,5,0,103,14
teeth,0,0,149,9
save,10,0,85,4
memory,0,0,99,22
worse,5,0,105,17
dressed,20,0,158,8
alive,10,0,99,19
quietly,5,0,113,19
field,15,0,91,19
gaze,5,0,69,3
garden,10,0,120,10
St.,0,0,27,10
places,15,0,108,15
carefully,20,20,134,14
thin,0,0,87,21
cry,0,0,32,6
aware,10,0,112,9
Ah,0,0,18,0
completely,10,0,177,48
pale,10,0,80,21
plan,10,0,63,10
personal,15,0,160,34
rain,5,0,84,20
Yeah,5,0,81,6
p,0,0,6,0
hat,5,0,70,5
considered,15,0,211,36
reach,5,0,107,4
believed,10,0,167,22
drove,5,0,94,19
tea,5,0,90,5
rich,0,0,65,12
somewhere,5,0,206,28
natural,15,0,135,20
stairs,15,0,129,24
forth,5,0,93,17
easily,15,0,121,15
anyway,10,0,88,18
particular,15,0,168,44
wore,0,0,86,13
speaking,15,0,137,35
angry,5,0,75,6
area,10,0,105,8
private,5,0,137,25
explained,15,0,173,43
Charles,15,0,130,15
ways,10,0,56,13
letters,10,0,180,13
bag,5,0,35,0
worth,0,0,93,18
playing,10,0,96,26
fresh,10,0,100,5
understood,15,0,201,29
tonight,0,0,142,34
paused,15,0,108,26
beauty,5,0,108,16
train,5,0,111,21
learn,10,0,113,16
wearing,5,0,135,20
therefore,5,0,225,24
closer,10,0,118,20
windows,10,0,110,31
court,0,0,84,15
effect,10,0,125,12
sick,10,10,51,20
social,15,0,107,39
expect,0,0,118,28
ears,10,0,100,10
tomorrow,0,0,145,39
huge,0,0,71,17
wine,0,0,86,17
worry,0,0,71,14
catch,5,0,87,10
Joe,0,0,61,15
ill,10,0,45,2
trust,5,0,100,14
smiling,10,0,106,21
slightly,15,0,122,25
older,10,0,103,9
forced,10,0,106,19
CHAPTER,0,0,0,0
staring,10,0,136,25
length,5,0,122,18
clean,10,0,103,14
usually,20,0,90,27
purpose,5,0,117,23
wished,10,0,116,18
impossible,15,0,170,53
begin,0,0,90,22
terrible,5,0,177,26
path,5,0,76,20
peace,5,0,115,13
likely,15,0,91,16
notice,0,0,137,27
finger,5,0,110,17
action,5,0,124,18
knees,10,0,118,10
carry,5,0,75,6
played,15,0,99,20
imagine,5,0,138,27
Thank,10,0,65,5
earlier,10,0,170,19
coat,5,0,83,23
gray,5,0,54,14
wood,5,0,65,14
language,15,0,140,23
shouted,10,0,146,17
ear,5,0,81,7
month,0,0,95,28
officer,10,0,121,23
asking,15,0,93,16
system,10,0,116,19
entire,0,0,163,16
lines,10,0,110,15
merely,5,0,119,12
kiss,15,0,61,10
i,0,0,21,0
snow,5,0,69,17
offer,10,0,92,9
bar,5,0,47,4
yellow,10,0,98,18
main,5,0,73,16
Robert,0,0,110,23
novel,5,0,96,26
managed,15,0,133,4
takes,15,0,111,16
study,10,0,73,15
listen,10,0,138,18
marry,5,0,74,6
spot,5,0,74,14
doors,10,0,95,15
station,10,0,162,27
kissed,20,0,112,13
smoke,10,0,89,18
faces,15,0,97,8
built,5,0,73,13
handed,15,0,127,4
Michael,10,0,122,24
stuff,15,0,68,10
dry,5,0,37,4
glance,10,0,109,15
thou,0,0,76,16
duty,5,0,54,8
apartment,10,0,193,41
ring,0,0,65,12
feelings,15,0,161,18
buy,0,0,19,8
century,0,0,126,18
escape,10,0,134,20
Richard,10,0,103,22
silver,10,0,111,19
pressed,15,0,151,12
lead,15,0,87,10
pleased,20,0,150,16
bottom,0,0,111,26
slow,10,0,61,15
settled,15,0,174,13
promise,5,0,132,37
tongue,0,0,122,24
ll,10,0,24,0
ye,0,0,44,3
wonderful,15,20,146,26
explain,10,0,122,39
forgotten,5,0,188,33
gentleman,10,0,194,22
hers,5,0,93,7
gently,5,0,110,16
softly,15,0,93,21
leaves,15,0,135,13
society,5,0,142,33
crossed,15,0,138,20
sharp,10,0,86,11
bedroom,5,0,126,20
sighed,10,0,115,19
helped,10,0,125,20
spread,15,0,118,21
laughing,10,0,116,36
Thomas,10,0,92,19
hotel,5,0,118,20
names,10,0,109,5
tiny,0,0,74,17
clearly,15,0,119,24
America,5,0,117,16
rolled,15,0,116,14
anger,5,0,107,4
aside,15,0,115,15
lights,10,0,104,19
familiar,20,0,135,27
battle,10,0,134,13
discovered,15,0,193,38
ordered,10,0,160,11
evidence,5,0,179,24
lose,10,0,92,13
smell,15,0,88,9
rock,5,10,51,19
ride,5,0,90,11
listened,15,0,188,22
flat,15,0,70,14
sounded,15,0,134,21
busy,5,0,38,18
Harry,5,0,66,6
headed,15,0,144,10
Paris,10,0,82,15
hoped,5,0,97,18
government,0,0,201,37
kids,15,0,55,10
houses,10,0,125,21
grass,15,0,87,9
fifty,10,0,67,13
interested,10,0,260,26
heat,5,0,108,11
pair,5,0,69,22
bent,0,0,90,11
drawn,10,0,83,10
pick,5,10,37,15
heads,15,0,113,9
repeated,10,0,202,26
calling,15,0,104,16
various,10,0,116,17
cross,10,0,87,17
stayed,15,0,127,19
spring,5,0,90,27
bank,10,0,52,5
effort,10,0,119,14
army,5,0,56,14
cover,0,0,90,22
suggested,15,0,175,25
complete,5,0,159,41
winter,0,0,131,22
keeping,5,0,132,21
slipped,15,0,114,17
sounds,15,0,102,20
Frank,10,0,65,13
check,5,10,75,11
cool,5,0,65,12
hospital,15,0,150,42
evil,5,0,74,13
somehow,5,0,135,39
appear,10,0,117,24
o,0,0,23,0
bought,0,0,87,23
loud,10,0,56,10
prepared,10,0,161,30
shop,5,0,66,11
charge,5,0,113,11
putting,0,0,116,16
growing,0,0,101,30
example,10,0,126,22
chief,5,0,92,15
cup,0,0,22,10
gets,5,0,90,9
exclaimed,15,0,162,35
works,10,0,69,19
respect,5,0,154,27
fit,5,0,55,8
danger,10,0,120,6
asleep,15,0,138,18
opening,0,0,134,27
fallen,20,0,114,17
entirely,5,0,181,23
suit,5,0,75,10
share,10,0,118,6
flowers,15,0,123,18
bottle,5,0,132,21
appearance,15,0,208,31
l,5,0,12,0
store,5,0,125,14
choice,0,0,116,21
beat,5,0,94,11
enemy,0,0,110,15
wet,0,0,72,3
camp,5,0,46,10
guard,10,0,70,20
narrow,5,0,110,16
moments,5,0,142,33
grown,0,0,74,18
papers,10,0,111,31
sex,5,0,58,5
promised,10,0,144,38
final,15,0,84,19
breakfast,25,0,165,23
needs,10,0,128,5
listening,10,0,185,34
streets,10,0,187,12
board,10,0,82,24
local,15,0,80,18
named,10,0,103,4
unless,15,0,117,20
pull,10,0,38,4
passing,15,0,116,26
movement,0,0,164,35
dance,10,0,104,5
opinion,0,0,133,29
level,10,0,103,16
shrugged,10,0,126,19
political,15,0,154,26
joy,5,0,29,8
em,0,0,45,3
meaning,5,0,137,22
noise,5,0,121,19
north,0,0,106,20
calm,10,0,52,12
ancient,5,0,160,21
attack,15,10,114,15
British,5,0,124,22
nine,0,0,100,19
ladies,20,0,127,21
message,15,0,152,9
murder,5,0,102,14
perfectly,10,0,160,24
yours,5,0,74,11
youth,0,0,82,12
stage,10,0,115,12
fish,10,0,65,13
cast,10,0,79,5
gate,5,0,96,7
support,5,0,107,16
soldiers,20,0,162,30
attempt,5,0,157,25
instant,10,0,159,23
period,5,0,118,20
weight,0,0,118,19
mentioned,5,0,207,28
concerned,5,0,187,30
remain,5,0,129,20
sake,15,0,84,10
carrying,5,0,122,16
ice,0,0,67,11
Jim,0,0,28,16
University,5,0,173,34
Elizabeth,10,0,146,26
Indian,10,0,99,16
hill,10,0,63,10
fool,10,0,64,9
Ben,0,0,58,6
grabbed,10,0,108,12
la,10,0,37,6
okay,10,0,55,15
opposite,5,0,162,22
lower,5,0,98,12
report,0,0,130,15
disappeared,25,0,220,40
nobody,5,0,88,38
difference,15,0,208,21
Sunday,10,0,72,24
directly,10,0,143,24
tight,0,0,100,16
States,10,0,136,19
Uncle,5,0,79,11
Mrs,5,0,37,7
drawing,10,0,110,22
author,5,0,119,28
German,5,0,108,8
hate,5,0,108,7
sad,15,0,56,3
moon,0,0,73,18
members,5,0,132,13
shoes,10,0,117,18
allow,15,0,78,16
object,5,0,101,24
mad,10,0,44,2
events,5,0,146,18
cheek,5,0,105,7
falling,20,0,103,19
particularly,20,0,186,50
journey,5,0,113,20
former,5,0,110,19
somewhat,10,0,164,28
bound,5,0,68,20
somebody,10,0,133,43
plain,10,0,84,26
search,10,0,126,13
Jane,5,0,83,3
animal,15,0,110,22
reply,5,0,80,14
stomach,10,0,127,17
interesting,5,0,256,34
Christmas,15,0,154,25
involved,10,0,133,30
lovely,10,0,94,22
flesh,15,0,94,11
determined,10,0,233,30
joined,10,0,115,18
forty,5,0,80,13
drop,5,0,59,8
key,5,0,46,7
leg,5,0,56,8
using,5,0,74,21
lunch,5,0,67,8
spoken,10,0,108,21
apart,10,0,100,25
